product_id,onsale_web,price,stock_quantity,stock_status,sku,total_sales,post_date,post_title,post_name,post_modified,_merge,poids,Région,Domaine,Appellation,Couleur,Millésime,Contenance,Degré d'alcool
5913,True,36.0,9,True,10014,0.0,2019-04-04 15:45:23,Darnley's London Dry Gin Original,darnleys-london-dry-gin-original,2020-08-26 15:55:02,both,1.5 kg,,,,,0,70cl,40%
5913,True,36.0,9,True,10014,0.0,2019-04-04 15:45:23,Darnley's London Dry Gin Original,darnleys-london-dry-gin-original,2020-08-26 15:55:02,both,1.5 kg,,,,,0,70cl,40%
5914,True,36.0,2,True,14265,1.0,2019-04-04 15:56:05,Darnley's London Dry Gin Spiced,darnleys-london-dry-gin-spiced,2020-08-08 16:15:02,both,1.5 kg,,,,,0,70cl,"42,70%"
5914,True,36.0,2,True,14265,1.0,2019-04-04 15:56:05,Darnley's London Dry Gin Spiced,darnleys-london-dry-gin-spiced,2020-08-08 16:15:02,both,1.5 kg,,,,,0,70cl,"42,70%"
5375,True,15.2,0,True,15755,1.0,2018-09-01 09:32:13,David-Beaupère Juliénas Les Trois Verres 2018,david-beaupere-julienas-2018,2020-03-10 18:45:03,both,1.5 kg,Beaujolais,David-Beaupère,Juliénas,Rouge,2020,75cl,"13,50%"
5375,True,15.2,0,True,15755,1.0,2018-09-01 09:32:13,David-Beaupère Juliénas Les Trois Verres 2018,david-beaupere-julienas-2018,2020-03-10 18:45:03,both,1.5 kg,Beaujolais,David-Beaupère,Juliénas,Rouge,2020,75cl,"13,50%"
5483,True,17.9,22,True,15753,0.0,2018-10-09 14:59:27,David-Beaupère Juliénas La Bottière Vieilles Vignes 2018,david-beaupere-julienas-bottiere-2018,2020-07-21 17:55:04,both,1.5 kg,Beaujolais,David-Beaupère,Juliénas,Rouge,2018,75cl,15%
5483,True,17.9,22,True,15753,0.0,2018-10-09 14:59:27,David-Beaupère Juliénas La Bottière Vieilles Vignes 2018,david-beaupere-julienas-bottiere-2018,2020-07-21 17:55:04,both,1.5 kg,Beaujolais,David-Beaupère,Juliénas,Rouge,2018,75cl,15%
5484,True,21.6,0,True,15756,1.0,2018-10-09 15:02:42,David-Beaupère Juliénas Vayolette 2017,david-beaupere-julienas-vayolette-2017,2020-05-11 11:15:03,both,1.5 kg,Beaujolais,David-Beaupère,Juliénas,Rouge,2017,75cl,"14,50%"
5484,True,21.6,0,True,15756,1.0,2018-10-09 15:02:42,David-Beaupère Juliénas Vayolette 2017,david-beaupere-julienas-vayolette-2017,2020-05-11 11:15:03,both,1.5 kg,Beaujolais,David-Beaupère,Juliénas,Rouge,2017,75cl,"14,50%"
6201,True,105.6,7,True,14596,0.0,2019-07-23 10:37:14,David Duband Chambolle-Musigny 1er Cru Les Sentiers 2016,david-duband-chambolle-musigny-1er-cru-les-sentiers-2016,2020-02-29 15:25:02,both,,,,,,0,,
6201,True,105.6,7,True,14596,0.0,2019-07-23 10:37:14,David Duband Chambolle-Musigny 1er Cru Les Sentiers 2016,david-duband-chambolle-musigny-1er-cru-les-sentiers-2016,2020-02-29 15:25:02,both,,,,,,0,,
